provincia,dedicacion,tipo_contrato,salario_bruto_ars,salario_neto_ars,sueldo_dolarizado,seniority,rol,anios_experiencia,modalidad,genero,tamanio_empresa,lenguajes,conformidad_ingresos,buscando_trabajo,lenguaje_principal,experiencia_bucket
Buenos Aires,Full-Time,Staff (planta permanente),4625000.0,3700000.0,False,Senior,Developer,40,100% presencial,Hombre Cis,De 201 a 500 personas,"HTML, SQL, VBA",4,"No, pero escucho ofertas.",HTML,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7700000.0,5000000.0,False,Senior,Manager / Director,15,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,"Go, Java, Javascript, Kotlin, Swift",2,"No, pero escucho ofertas.",Go,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2852000.0,2275000.0,False,Semi-Senior,Developer,5,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"Bash/Shell, CSS, HTML, Javascript, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3300000.0,2900000.0,False,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,"CSS, Go, Javascript, TypeScript",3,"No, pero escucho ofertas.",CSS,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,1900000.0,False,Junior,Data Scientist,0,100% presencial,Hombre Cis,De 2001a 5000 personas,"Arduino, Assembler, Bash/Shell, C, C++, HTML, Javascript, Perl, PHP, Python, R, TypeScript",1,"No, pero escucho ofertas.",Arduino,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,1880000.0,False,Senior,SysAdmin / DevOps / SRE,7,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Bash/Shell, Python",3,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2300000.0,1600000.0,False,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 1001 a 2000 personas,"C++, C#, Go, HTML, Java",1,"No, estoy muy conforme.",C++,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6003000.0,3000000.0,False,Senior,Networking,10,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,Ninguno de los anteriores,2,"No, estoy muy conforme.",Ninguno de los anteriores,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),6166595.0,4360472.0,False,Senior,Developer,22,100% remoto,Hombre Cis,De 2 a 10 personas,".NET, Bash/Shell, C++, C#, CSS, HTML, Javascript, SQL, TypeScript",3,"No, pero escucho ofertas.",.NET,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3523520.0,2855410.0,False,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 1001 a 2000 personas,"Bash/Shell, Java, Javascript, Python, SQL, TypeScript",2,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,1700000.0,False,Semi-Senior,SysAdmin / DevOps / SRE,3,100% presencial,Hombre Cis,De 11  a 50  personas,"Bash/Shell, C++, HTML, Java, Javascript, Perl, SQL",1,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,,False,Senior,Consultant,30,100% remoto,Hombre Cis,De 11  a 50  personas,"Bash/Shell, Python",1,"No, pero escucho ofertas.",Bash/Shell,10+ años
Buenos Aires,Full-Time,Freelance,800000.0,800000.0,False,Senior,Service de computadoras,18,Híbrido (presencial y remoto),Hombre Cis,1 (solamente yo),Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,10+ años
Neuquén,Full-Time,Staff (planta permanente),1303796.0,1057446.0,False,Semi-Senior,Developer,3,Híbrido (presencial y remoto),Hombre Cis,De 2 a 10 personas,"Bash/Shell, CSS, HTML, Kotlin, PHP",3,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000.0,1160000.0,False,Junior,Developer,1,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Javascript, Python, SQL",2,"No, estoy muy conforme.",Javascript,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1916919.0,1556538.0,False,Semi-Senior,Technical Leader,4,Híbrido (presencial y remoto),Mujer Cis,De 5001 a 10000 personas,"CSS, HTML, Java, Javascript, TypeScript",2,"No, pero escucho ofertas.",CSS,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3200000.0,2600000.0,False,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 501 a 1000 personas,"HTML, Java, Javascript, SQL",4,"No, pero escucho ofertas.",HTML,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5590000.0,4480000.0,False,Senior,Infosec,20,100% remoto,Hombre Cis,De 11  a 50  personas,"Bash/Shell, HTML, Javascript, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7000000.0,5000000.0,False,Senior,Manager / Director,26,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,Ninguno de los anteriores,4,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),4600000.0,3500000.0,False,Senior,SysAdmin / DevOps / SRE,35,100% presencial,Hombre Cis,De 5001 a 10000 personas,"Bash/Shell, COBOL, SQL",2,"No, pero escucho ofertas.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3320630.0,2763931.0,False,Senior,Manager / Director,10,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7312000.0,5606000.0,False,Senior,Architect,26,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,"CSS, Groovy, HTML, Java, Javascript, SQL, TypeScript",4,"No, pero escucho ofertas.",CSS,10+ años
Córdoba,Full-Time,Staff (planta permanente),4020747.0,3248055.0,False,Senior,Developer,6,100% remoto,Hombre Cis,De 5001 a 10000 personas,"Javascript, Kotlin, TypeScript",3,"No, pero escucho ofertas.",Javascript,6-10 años
Buenos Aires,Part-Time,Staff (planta permanente),1038373.0,,False,Senior,SysAdmin / DevOps / SRE,25,100% presencial,Hombre Cis,De 51 a 100 personas,Ninguno de los anteriores,1,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Entre Ríos,Full-Time,Staff (planta permanente),6198942.0,5611989.0,False,Senior,Developer,25,100% remoto,Hombre Cis,1 (solamente yo),"Javascript, TypeScript",4,"No, pero escucho ofertas.",Javascript,10+ años
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1728198.0,1458294.0,False,Junior,Developer,2,100% remoto,Mujer Cis,De 101 a 200 personas,"Java, Javascript",2,"No, estoy muy conforme.",Java,0-2 años
Mendoza,Full-Time,Staff (planta permanente),2521440.0,2075191.0,False,Semi-Senior,Developer,3,100% remoto,Agénero,De 101 a 200 personas,"Javascript, PHP, SQL",3,"No, pero escucho ofertas.",Javascript,3-5 años
Córdoba,Full-Time,Staff (planta permanente),4154000.0,3270000.0,False,Senior,Technical Leader,6,100% remoto,Hombre Cis,De 51 a 100 personas,Python,3,"No, pero escucho ofertas.",Python,6-10 años
Chaco,Full-Time,Staff (planta permanente),3163382.0,2605516.0,False,Junior,Data Engineer,2,100% remoto,Hombre Cis,Más de 10000 personas,"Bash/Shell, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5965500.0,4658516.0,False,Senior,Technical Leader,20,100% remoto,Hombre Cis,De 501 a 1000 personas,"Bash/Shell, CSS, HTML, Java, Javascript",2,"No, pero escucho ofertas.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4760000.0,1086500.0,False,Semi-Senior,Data Scientist,3,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,"Java, Python, Scala, SQL",3,"No, estoy muy conforme.",Java,3-5 años
Santa Fe,Full-Time,Staff (planta permanente),2132000.0,1800000.0,False,Junior,BI Analyst / Data Analyst,1,Híbrido (presencial y remoto),Mujer Cis,De 501 a 1000 personas,Python,4,"No, estoy muy conforme.",Python,0-2 años
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1470000.0,1220000.0,False,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 2 a 10 personas,"C#, CSS, HTML, Javascript, SQL",3,"No, pero escucho ofertas.",C#,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,2150000.0,False,Semi-Senior,Technical Writer,3,Híbrido (presencial y remoto),Mujer Cis,De 51 a 100 personas,Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2100000.0,1800000.0,False,Senior,BI Analyst / Data Analyst,10,100% presencial,Mujer Cis,De 201 a 500 personas,Python,2,"No, pero escucho ofertas.",Python,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4200000.0,3600000.0,False,Senior,SysAdmin / DevOps / SRE,15,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,".NET, HTML, SQL, VBA",3,"No, pero escucho ofertas.",.NET,10+ años
Buenos Aires,Full-Time,Participación societaria en una cooperativa,2700000.0,2700000.0,False,Senior,Developer,18,100% remoto,Hombre Cis,De 101 a 200 personas,"HTML, Java, Javascript",2,"Sí, estoy buscando activamente.",HTML,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),3500000.0,300000.0,False,Senior,Developer,25,100% presencial,Hombre Cis,De 11  a 50  personas,"C, HTML, Javascript, Perl, PHP",3,"No, pero escucho ofertas.",C,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,3800000.0,False,Senior,Developer,19,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,PHP,3,"No, pero escucho ofertas.",PHP,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),2406720.0,2139060.0,False,Semi-Senior,SysAdmin / DevOps / SRE,5,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,"Bash/Shell, PHP",3,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,3300000.0,False,Senior,Technical Leader,15,100% remoto,Hombre Cis,Más de 10000 personas,"Kotlin, Swift",3,"No, pero escucho ofertas.",Kotlin,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1434763.0,1194353.0,False,Junior,Designer,1,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,Ninguno de los anteriores,2,"Sí, estoy buscando activamente.",Ninguno de los anteriores,0-2 años
Buenos Aires,Full-Time,Staff (planta permanente),4913590.0,3862323.0,False,Senior,Developer,28,100% remoto,Hombre Cis,De 11  a 50  personas,".NET, C#",3,"No, pero escucho ofertas.",.NET,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),3636289.0,2900000.0,False,Senior,Developer,6,100% remoto,Hombre Cis,De 501 a 1000 personas,"Java, SQL",3,"No, pero escucho ofertas.",Java,6-10 años
Córdoba,Full-Time,Staff (planta permanente),1500000.0,1350000.0,False,Semi-Senior,Recruiter,4,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,Ninguno de los anteriores,1,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Santa Fe,Full-Time,Staff (planta permanente),9800000.0,5500000.0,False,Senior,SysAdmin / DevOps / SRE,30,100% presencial,Hombre Cis,De 501 a 1000 personas,"Bash/Shell, Go, Powershell",3,"No, estoy muy conforme.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3600000.0,2800000.0,False,Semi-Senior,Developer,5,Híbrido (presencial y remoto),Mujer Cis,De 1001 a 2000 personas,".NET, C++, C#, HTML, Python, SQL, VBA",2,"No, pero escucho ofertas.",.NET,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,2100000.0,False,Junior,DBA,2,Híbrido (presencial y remoto),Mujer Cis,De 101 a 200 personas,"Bash/Shell, SQL",2,"No, pero escucho ofertas.",Bash/Shell,0-2 años
San Luis,Full-Time,Staff (planta permanente),2900000.0,2600000.0,False,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 101 a 200 personas,"CSS, HTML, Javascript, SQL, TypeScript",3,"No, pero escucho ofertas.",CSS,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1550000.0,1286500.0,False,Semi-Senior,QA / Tester,3,Híbrido (presencial y remoto),Hombre Cis,De 5001 a 10000 personas,"CSS, HTML, Java, Javascript, Python, SQL",2,"No, pero escucho ofertas.",CSS,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,2350000.0,False,Semi-Senior,Technical Support,4,100% remoto,Mujer Cis,De 2001a 5000 personas,"Javascript, SQL",3,"No, pero escucho ofertas.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,3500000.0,False,Senior,Business Analyst,20,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,SQL,3,"No, pero escucho ofertas.",SQL,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),1570000.0,1270000.0,False,Semi-Senior,Developer,5,100% presencial,Mujer Cis,De 5001 a 10000 personas,"Arduino, C, Python",1,"No, pero escucho ofertas.",Arduino,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000.0,,False,Senior,Developer,6,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,"Bash/Shell, CSS, HTML, Java, Javascript, Python",2,"Sí, estoy buscando activamente.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5550000.0,4120000.0,False,Senior,Developer,8,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,"Bash/Shell, Java, SQL",4,"No, estoy muy conforme.",Bash/Shell,6-10 años
Santa Fe,Full-Time,Staff (planta permanente),2000000.0,1800000.0,False,Semi-Senior,SysAdmin / DevOps / SRE,3,100% presencial,Hombre Cis,De 11  a 50  personas,"Bash/Shell, Python",2,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),10000000.0,6700000.0,False,Senior,Manager / Director,20,Híbrido (presencial y remoto),Mujer Cis,De 11  a 50  personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),3767692.0,3044379.0,False,Senior,Developer,18,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,".NET, C#, CSS, HTML, Javascript, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",.NET,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Participación societaria en una cooperativa,2190000.0,2100000.0,False,Senior,QA / Tester,11,100% remoto,Mujer Cis,De 101 a 200 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Santa Fe,Full-Time,Staff (planta permanente),1200000.0,1000000.0,False,Senior,Networking,8,100% presencial,Hombre Cis,De 2 a 10 personas,"Bash/Shell, Delphi, HTML, Javascript, PHP, Python, SQL",2,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5700000.0,4350000.0,False,Senior,Architect,30,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,".NET, C#, Javascript, PHP, SQL",3,"Sí, estoy buscando activamente.",.NET,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4000000.0,3200000.0,False,Senior,Developer,6,Híbrido (presencial y remoto),Mujer Cis,De 501 a 1000 personas,"HTML, Java, Javascript, SQL, TypeScript",3,"No, pero escucho ofertas.",HTML,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3900000.0,3400874.0,False,Senior,Developer,9,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,ABAP,2,"No, pero escucho ofertas.",ABAP,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1688755.0,1459667.0,False,Semi-Senior,HelpDesk,4,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Delphi, PHP, SQL",2,"Sí, estoy buscando activamente.",Delphi,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1300000.0,1300000.0,False,Semi-Senior,Developer,3,100% presencial,Hombre Cis,De 2 a 10 personas,"Bash/Shell, CSS, HTML, Javascript, PHP, Python, SQL, TypeScript",2,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1800000.0,1500000.0,False,Senior,SysAdmin / DevOps / SRE,7,Híbrido (presencial y remoto),Hombre Cis,De 5001 a 10000 personas,"C++, HTML, Java, Python, SQL, TypeScript",1,"Sí, estoy buscando activamente.",C++,6-10 años
Santa Fe,Part-Time,Contractor,1112000.0,1000000.0,False,Junior,Técnico,0,100% presencial,Mujer Cis,De 11  a 50  personas,"Python, SQL",3,"No, pero escucho ofertas.",Python,0-2 años
Ciudad Autónoma de Buenos Aires,Part-Time,Tercerizado (trabajo a través de consultora o agencia),3000000.0,2700000.0,False,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 5001 a 10000 personas,"CSS, HTML, Java, Javascript, SQL, TypeScript",2,"Sí, estoy buscando activamente.",CSS,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),6590000.0,7200000.0,False,Senior,Manager / Director,18,100% presencial,Hombre Cis,De 1001 a 2000 personas,SQL,4,"No, estoy muy conforme.",SQL,10+ años
Santa Fe,Full-Time,Staff (planta permanente),1970000.0,1764000.0,False,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 11  a 50  personas,".NET, C#, SQL",3,"No, pero escucho ofertas.",.NET,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,2000000.0,False,Senior,Product Owner,12,100% remoto,Hombre Cis,De 11  a 50  personas,Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,10+ años
Buenos Aires,Part-Time,Staff (planta permanente),1160000.0,1010000.0,False,Junior,Developer,1,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,".NET, C#, CSS, HTML, Java, Javascript, SQL, TypeScript",2,"Sí, estoy buscando activamente.",.NET,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,1600000.0,False,Senior,Technical Leader,9,100% presencial,Hombre Cis,De 201 a 500 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,3000000.0,False,Semi-Senior,SysAdmin / DevOps / SRE,4,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,Ninguno de los anteriores,4,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5860000.0,4514339.0,False,Senior,Networking,10,100% remoto,Hombre Cis,De 201 a 500 personas,Python,3,"Sí, estoy buscando activamente.",Python,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2100000.0,1800000.0,False,Senior,Business Analyst,40,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,".NET, CSS, HTML, Java, Javascript, PHP, Python, SQL, VBA",2,"No, pero escucho ofertas.",.NET,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,4400000.0,4645000.0,False,Senior,Consultant,8,Híbrido (presencial y remoto),Mujer Cis,De 11  a 50  personas,SQL,3,"No, pero escucho ofertas.",SQL,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4800000.0,4100000.0,False,Senior,Manager / Director,11,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"HTML, Javascript, Python, SQL, VBA",2,"No, pero escucho ofertas.",HTML,10+ años
Santa Fe,Full-Time,Participación societaria en una cooperativa,4500000.0,3900000.0,False,Senior,Manager / Director,18,100% remoto,Prefiero no decir,De 101 a 200 personas,"Java, SQL",3,"Sí, estoy buscando activamente.",Java,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5590000.0,4400000.0,False,Senior,BI Analyst / Data Analyst,25,100% remoto,Hombre Cis,De 11  a 50  personas,"Bash/Shell, Javascript, Python",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Santa Fe,Full-Time,Staff (planta permanente),1800000.0,1300000.0,False,Semi-Senior,Developer,3,100% presencial,Hombre Cis,De 501 a 1000 personas,".NET, Kotlin",1,"No, pero escucho ofertas.",.NET,3-5 años
Santa Fe,Full-Time,Staff (planta permanente),2500000.0,2400000.0,False,Senior,Technical Leader,8,100% presencial,Hombre Cis,De 501 a 1000 personas,".NET, CSS, HTML, Java, Javascript, PHP, Python, SQL, TypeScript, VBA",2,"No, estoy muy conforme.",.NET,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4200000.0,3200000.0,False,Semi-Senior,Developer,5,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,"Javascript, SQL, TypeScript",3,"No, pero escucho ofertas.",Javascript,3-5 años
Córdoba,Full-Time,Staff (planta permanente),4600000.0,3630000.0,False,Senior,Developer,12,100% remoto,Hombre Cis,Más de 10000 personas,"Go, Python",4,"No, estoy muy conforme.",Go,10+ años
Mendoza,Full-Time,Staff (planta permanente),3500000.0,3000000.0,False,Semi-Senior,Data Scientist,5,100% remoto,Hombre Cis,De 201 a 500 personas,"Python, SQL",3,"No, pero escucho ofertas.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2600000.0,2140000.0,False,Semi-Senior,QA / Tester,5,100% remoto,Mujer Cis,De 51 a 100 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,1900000.0,False,Senior,QA / Tester,20,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4466210.0,,False,Senior,Developer,6,100% remoto,Hombre Cis,De 101 a 200 personas,"Java, Kotlin, Python",4,"No, estoy muy conforme.",Java,6-10 años
Buenos Aires,Full-Time,Staff (planta permanente),2522400.0,2093592.0,False,Semi-Senior,Data Engineer,4,100% remoto,Hombre Cis,De 101 a 200 personas,"Python, SQL",2,"No, pero escucho ofertas.",Python,3-5 años
Buenos Aires,Part-Time,Freelance,7800000.0,4800000.0,False,Senior,SysAdmin / DevOps / SRE,30,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,C#,3,"No, estoy muy conforme.",C#,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6076013.0,5043090.0,False,Senior,Manager / Director,34,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,"HTML, Javascript, PHP, Python, SQL",3,"No, estoy muy conforme.",HTML,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),2700000.0,3100000.0,False,Senior,Developer,6,100% remoto,Hombre Cis,De 501 a 1000 personas,"Javascript, PHP",2,"No, pero escucho ofertas.",Javascript,6-10 años
Tucumán,Full-Time,Staff (planta permanente),2950000.0,2350000.0,False,Senior,SysAdmin / DevOps / SRE,23,100% presencial,Hombre Cis,De 101 a 200 personas,"Arduino, HTML, Java, Javascript, SQL",3,"Sí, estoy buscando activamente.",Arduino,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3546709.0,2697129.0,False,Semi-Senior,Developer,5,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Javascript, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",Javascript,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),1854660.0,1760000.0,False,Junior,Manager / Director,1,100% presencial,Hombre Cis,De 11  a 50  personas,"HTML, Javascript, PHP, SQL",3,"No, estoy muy conforme.",HTML,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1914867.0,1589340.0,False,Senior,Business Analyst,10,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Bash/Shell, SQL",1,"Sí, estoy buscando activamente.",Bash/Shell,6-10 años
Buenos Aires,Full-Time,Staff (planta permanente),1974158.0,1543979.0,False,Senior,HelpDesk,22,100% presencial,Hombre Cis,De 2001a 5000 personas,Ninguno de los anteriores,1,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),1120000.0,1120000.0,False,Junior,Developer,1,Híbrido (presencial y remoto),Hombre Cis,De 2 a 10 personas,"CSS, HTML, Javascript",2,"No, pero escucho ofertas.",CSS,0-2 años
Salta,Full-Time,Staff (planta permanente),1650000.0,1400000.0,False,Semi-Senior,QA / Tester,4,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,C#,2,"Sí, estoy buscando activamente.",C#,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2600000.0,2100000.0,False,Senior,SysAdmin / DevOps / SRE,10,100% remoto,Hombre Cis,De 501 a 1000 personas,".NET, C#",2,"No, pero escucho ofertas.",.NET,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2900000.0,2450000.0,False,Senior,Developer,10,100% remoto,Hombre Cis,De 11  a 50  personas,"Javascript, PHP",3,"No, estoy muy conforme.",Javascript,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5100000.0,4000000.0,False,Senior,Business Analyst,30,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,Javascript,3,"No, estoy muy conforme.",Javascript,10+ años
Córdoba,Full-Time,Staff (planta permanente),3767959.04,3040413.78,False,Senior,Developer,6,100% remoto,Hombre Cis,De 501 a 1000 personas,".NET, C#, HTML, Javascript, SQL, TypeScript",4,"No, pero escucho ofertas.",.NET,6-10 años
Neuquén,Full-Time,Staff (planta permanente),3932000.0,3590470.0,False,Senior,Technical Leader,7,100% remoto,Hombre Cis,De 51 a 100 personas,Python,2,"No, pero escucho ofertas.",Python,6-10 años
Santa Fe,Full-Time,Staff (planta permanente),1807000.0,1507000.0,False,Senior,Infosec,10,100% presencial,Hombre Cis,De 201 a 500 personas,"Bash/Shell, HTML, Javascript, PHP, Python",2,"No, pero escucho ofertas.",Bash/Shell,6-10 años
