provincia,dedicacion,tipo_contrato,salario_bruto_ars,salario_neto_ars,sueldo_dolarizado,seniority,rol,anios_experiencia,modalidad,genero,tamanio_empresa,lenguajes,conformidad_ingresos,buscando_trabajo,lenguaje_principal,experiencia_bucket
Córdoba,Full-Time,Staff (planta permanente),1208015.42,1002652.8,True,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Mujer Cis,Más de 10000 personas,"CSS, HTML, Javascript, TypeScript",1,"Sí, estoy buscando activamente.",CSS,3-5 años
Chaco,Full-Time,Contractor,2300000.0,2100000.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 11  a 50  personas,"CSS, HTML, Javascript, PHP, TypeScript",3,"No, pero escucho ofertas.",CSS,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2187000.0,1900000.0,True,Semi-Senior,Developer,3,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,COBOL,3,"No, pero escucho ofertas.",COBOL,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),2580000.0,2000000.0,True,Semi-Senior,UX/UI Designer,4,100% remoto,Mujer Cis,De 1001 a 2000 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Mendoza,Full-Time,Contractor,5250000.0,5250000.0,True,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),8360000.0,6157000.0,True,Senior,Developer,10,100% remoto,Hombre Cis,De 1001 a 2000 personas,"CSS, HTML, Javascript, Kotlin, PHP, Python, SQL, TypeScript",3,"No, estoy muy conforme.",CSS,6-10 años
Ciudad Autónoma de Buenos Aires,Part-Time,Contractor,5000000.0,4500000.0,True,Senior,Consultant,20,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,"Python, TypeScript",3,"No, pero escucho ofertas.",Python,10+ años
Entre Ríos,Full-Time,Staff (planta permanente),2700000.0,2200000.0,True,Semi-Senior,Technical Leader,3,100% remoto,Hombre Cis,De 51 a 100 personas,"Bash/Shell, Java",3,"No, estoy muy conforme.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6700000.0,6700000.0,True,Senior,Sales / Pre-Sales,17,100% remoto,Hombre Cis,De 2001a 5000 personas,Ninguno de los anteriores,4,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),9292000.0,6547815.0,True,Senior,Developer,14,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"Go, Java, Javascript, Python, SQL, TypeScript",4,"No, estoy muy conforme.",Go,10+ años
Santa Fe,Full-Time,Contractor,6525000.0,5032000.0,True,Senior,Developer,11,100% remoto,Hombre Cis,1 (solamente yo),".NET, Java, Python, SQL, TypeScript",4,"No, estoy muy conforme.",.NET,10+ años
Tierra del Fuego,Part-Time,Contractor,2100000.0,2100000.0,True,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 11  a 50  personas,Javascript,2,"No, pero escucho ofertas.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1260000.0,1260000.0,True,Junior,BI Analyst / Data Analyst,2,100% presencial,Hombre Cis,De 2 a 10 personas,Python,1,"Sí, estoy buscando activamente.",Python,0-2 años
Buenos Aires,Full-Time,Contractor,3500000.0,3450000.0,True,Senior,Data Scientist,8,100% remoto,Hombre Cis,De 201 a 500 personas,"Python, SQL",4,"No, pero escucho ofertas.",Python,6-10 años
Buenos Aires,Full-Time,Staff (planta permanente),4900000.0,4300000.0,True,Senior,Developer,20,100% remoto,Hombre Cis,De 1001 a 2000 personas,"Dart, Java, Kotlin",2,"No, pero escucho ofertas.",Dart,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,2400000.0,True,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Mujer Cis,De 5001 a 10000 personas,"Java, Javascript, Python, SQL, TypeScript",2,"No, pero escucho ofertas.",Java,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,8550000.0,8550000.0,True,Senior,Developer,9,100% remoto,Hombre Cis,De 501 a 1000 personas,"Go, SQL, TypeScript",4,"No, pero escucho ofertas.",Go,6-10 años
Chubut,Full-Time,Contractor,5500000.0,5500000.0,True,Semi-Senior,SysAdmin / DevOps / SRE,5,100% remoto,Hombre Cis,De 51 a 100 personas,"CSS, HTML, Javascript, PHP, SQL, VBA",3,"No, pero escucho ofertas.",CSS,3-5 años
Entre Ríos,Full-Time,Contractor,4200000.0,4000000.0,True,Senior,Business Analyst,20,100% remoto,Hombre Cis,De 2001a 5000 personas,Ninguno de los anteriores,3,"Sí, estoy buscando activamente.",Ninguno de los anteriores,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,11000000.0,,True,Senior,Developer,25,100% remoto,Hombre Cis,De 101 a 200 personas,"HTML, Javascript, Kotlin",4,"No, pero escucho ofertas.",HTML,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000.0,1960000.0,True,Semi-Senior,DBA,3,100% presencial,Hombre Cis,De 51 a 100 personas,"Bash/Shell, C++, Javascript, PHP, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,10500000.0,,True,Senior,Developer,8,100% remoto,Hombre Cis,De 2 a 10 personas,"Javascript, TypeScript",4,"No, estoy muy conforme.",Javascript,6-10 años
